2024-10-25 12:59:05 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0
2024-10-25 12:59:05 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 22 ms to scan 1 urls, producing 3 keys and 6 values 
2024-10-25 12:59:05 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 5 ms to scan 1 urls, producing 4 keys and 9 values 
2024-10-25 12:59:05 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 4 ms to scan 1 urls, producing 3 keys and 10 values 
2024-10-25 12:59:05 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 5 ms to scan 1 urls, producing 1 keys and 5 values 
2024-10-25 12:59:05 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 6 ms to scan 1 urls, producing 1 keys and 7 values 
2024-10-25 12:59:05 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 10 ms to scan 1 urls, producing 2 keys and 8 values 
2024-10-25 12:59:05 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
2024-10-25 12:59:05 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$449/0x0000000800387c40
2024-10-25 12:59:05 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$450/0x0000000800387040
2024-10-25 12:59:05 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
2024-10-25 12:59:05 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
2024-10-25 12:59:05 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] Try to connect to server on start up, server: {serverIp = '8.138.31.44', server main port = 8848}
2024-10-25 12:59:07 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] Success to connect to server [8.138.31.44:8848] on start up, connectionId = 1729832349166_221.4.34.75_41144
2024-10-25 12:59:07 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-10-25 12:59:07 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] Notify connected event to listeners.
2024-10-25 12:59:07 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e1a81e26-984b-4ff9-8fbb-2f02014f2ea5_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$464/0x00000008003f7040
2024-10-25 12:59:07 |INFO  |main |PropertySourceBootstrapConfiguration.java:109 |org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration |Located property source: [BootstrapPropertySource {name='bootstrapProperties-user-service-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-user-service.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-user-service,DEFAULT_GROUP'}]
2024-10-25 12:59:07 |INFO  |main |SpringApplication.java:637 |com.bilibili.user.UserApplication |The following 1 profile is active: "dev"
2024-10-25 12:59:08 |INFO  |main |RepositoryConfigurationDelegate.java:262 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode
2024-10-25 12:59:08 |INFO  |main |RepositoryConfigurationDelegate.java:132 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-10-25 12:59:08 |INFO  |main |RepositoryConfigurationDelegate.java:201 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2024-10-25 12:59:08 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=308009e2-f423-3e03-aa80-ff5db63bd3d1
2024-10-25 12:59:08 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8081 (http)
2024-10-25 12:59:08 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8081"]
2024-10-25 12:59:08 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-10-25 12:59:08 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.75]
2024-10-25 12:59:09 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-10-25 12:59:09 |INFO  |main |ServletWebServerApplicationContext.java:292 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 1240 ms
2024-10-25 12:59:09 |INFO  |main |FeignClientFactoryBean.java:418 |org.springframework.cloud.openfeign.FeignClientFactoryBean |For 'notice-service' URL not provided. Will try picking an instance via load-balancing.
2024-10-25 12:59:09 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-10-25 12:59:09 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-10-25 12:59:11 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
